City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Arraial Do Cabo,BR,2021-05-24 21:39:20,-22.9661,-42.0278,73.36,56,75,6.91
231,Dese,ET,2021-05-24 21:39:46,11.1333,39.6333,57.42,40,9,3.04
232,Whitehorse,CA,2021-05-24 21:39:46,60.7161,-135.0538,54.37,58,75,9.22
233,Bubaque,GW,2021-05-24 21:39:47,11.2833,-15.8333,79.3,74,89,21.61
234,Wanaka,NZ,2021-05-24 21:39:47,-44.7,169.15,41.38,62,1,1.88
235,Bathsheba,BB,2021-05-24 21:39:47,13.2167,-59.5167,83.01,74,75,18.79
236,Verkhnyaya Inta,RU,2021-05-24 21:39:48,65.9811,60.3094,44.1,50,100,12.55
237,Moose Factory,CA,2021-05-24 21:39:48,51.2585,-80.6094,71.6,37,1,19.57
238,Kalmunai,LK,2021-05-24 21:39:48,7.4167,81.8167,79.18,79,99,9.62
239,Dongsheng,CN,2021-05-24 21:39:49,39.8161,109.9776,52.21,22,0,22.03
240,Necochea,AR,2021-05-24 21:38:48,-38.5473,-58.7368,58.03,57,5,19.22
241,Bandiagara,ML,2021-05-24 21:39:49,14.3501,-3.6104,90.03,29,91,6.89
242,Mundo Nuevo,MX,2021-05-24 21:39:50,18.7,-95.5,84.42,67,15,16.49
243,Thinadhoo,MV,2021-05-24 21:39:50,0.5333,72.9333,83.55,73,100,17.49
244,Carutapera,BR,2021-05-24 21:39:50,-1.195,-46.02,79.43,81,91,8.84
245,Sisimiut,GL,2021-05-24 21:39:51,66.9395,-53.6735,35.42,73,100,1.92
246,Shingu,JP,2021-05-24 21:39:51,33.7333,135.9833,64.9,87,84,1.61
247,Qaanaaq,GL,2021-05-24 21:38:58,77.484,-69.3632,32.52,75,5,6.62
248,Vardo,NO,2021-05-24 21:39:52,70.3705,31.1107,33.55,67,4,5.37
249,Hofn,IS,2021-05-24 21:39:52,64.2539,-15.2082,42.66,69,45,1.5
250,Victoria,HK,2021-05-24 21:39:17,22.2855,114.1577,85.32,88,74,3.0
251,Baracoa,CU,2021-05-24 21:39:53,20.3467,-74.4958,80.37,77,34,9.44
252,Maldonado,UY,2021-05-24 21:37:27,-34.6667,-54.9167,56.59,75,11,16.35
253,Cidreira,BR,2021-05-24 21:39:53,-30.1811,-50.2056,57.63,67,0,12.55
254,Aswan,EG,2021-05-24 21:39:54,24.0934,32.907,83.61,14,0,10.25
255,Mitu,CO,2021-05-24 21:39:54,1.1983,-70.1733,77.32,95,37,1.21
256,Port Hardy,CA,2021-05-24 21:39:54,50.6996,-127.4199,55.58,76,90,8.05
257,Meulaboh,ID,2021-05-24 21:39:55,4.1363,96.1285,76.87,90,77,3.62
258,Kaduy,RU,2021-05-24 21:39:55,59.2,37.15,45.66,94,2,6.42
259,Umm Kaddadah,SD,2021-05-24 21:39:56,13.6017,26.6876,87.94,11,20,4.7
260,Korla,CN,2021-05-24 21:39:56,41.7597,86.1469,68.23,21,75,0.38
261,Saint-Louis,SN,2021-05-24 21:39:56,16.3333,-15.0,91.04,36,29,15.19
262,Sumbe,AO,2021-05-24 21:39:57,-11.2061,13.8437,75.88,87,0,5.12
263,Leningradskiy,RU,2021-05-24 21:39:57,69.3833,178.4167,33.28,90,100,10.49
264,Ixtapa,MX,2021-05-24 21:39:57,20.7,-105.2,85.23,42,20,12.66
265,Hamilton,US,2021-05-24 21:35:01,39.1834,-84.5333,87.75,55,1,7.78
266,Usakos,NA,2021-05-24 21:39:58,-22.0,15.6,67.55,33,4,9.75
267,Omboue,GA,2021-05-24 21:38:21,-1.5746,9.2618,77.45,93,94,6.06
268,Xinzhi,CN,2021-05-24 21:39:58,36.4989,111.7047,60.53,24,51,1.72
269,Upernavik,GL,2021-05-24 21:39:59,72.7868,-56.1549,32.88,81,78,8.34
270,Lagoa,PT,2021-05-24 21:39:45,39.05,-27.9833,61.83,71,100,13.2
271,Kabompo,ZM,2021-05-24 21:40:00,-13.5927,24.2008,58.05,60,0,8.19
272,Tasiilaq,GL,2021-05-24 21:38:30,65.6145,-37.6368,35.76,90,100,35.81
273,Komsomolskiy,UZ,2021-05-24 21:40:00,40.4272,71.7189,69.22,40,96,3.0
274,Dudinka,RU,2021-05-24 21:40:01,69.4058,86.1778,26.4,94,100,19.08
275,Broome,US,2021-05-24 21:40:01,42.2506,-75.833,74.21,69,20,5.01
276,Mabaruma,GY,2021-05-24 21:40:02,8.2,-59.7833,84.2,74,75,13.8
277,Ylivieska,FI,2021-05-24 21:40:02,64.0833,24.55,38.88,94,97,4.81
278,Macas,EC,2021-05-24 21:40:03,-2.3167,-78.1167,82.15,61,20,5.75
279,Petropavlovsk-Kamchatskiy,RU,2021-05-24 21:40:04,53.0452,158.6483,41.59,70,9,6.53
280,Verkhnevilyuysk,RU,2021-05-24 21:40:04,63.4453,120.3167,43.32,90,100,8.72
281,Banikoara,BJ,2021-05-24 21:40:05,11.2985,2.4386,89.28,37,93,5.55
282,Lorengau,PG,2021-05-24 21:40:05,-2.0226,147.2712,82.63,80,100,13.73
283,Matagami,CA,2021-05-24 21:40:05,49.7502,-77.6328,66.31,34,1,10.38
284,Mingshui,CN,2021-05-24 21:40:06,36.7167,117.5,60.49,32,0,2.77
285,Neiafu,TO,2021-05-24 21:39:29,-18.65,-173.9833,81.28,83,40,5.75
286,Port Lincoln,AU,2021-05-24 21:40:06,-34.7333,135.8667,57.33,65,52,28.25
287,Torbay,CA,2021-05-24 21:40:07,47.6666,-52.7314,36.28,66,90,18.41
288,Ballina,AU,2021-05-24 21:40:07,-28.8667,153.5667,58.96,94,75,5.75
289,Coquimbo,CL,2021-05-24 21:37:28,-29.9533,-71.3436,58.73,67,0,3.96
290,Obodivka,UA,2021-05-24 21:40:08,48.4051,29.2477,51.19,86,71,2.48
291,Loknya,RU,2021-05-24 21:40:08,56.83,30.1467,44.11,96,8,5.19
